"Gene","segVal","SampleName","gene_name","tpm"
"CMTM6",1,"JBLAB19937","CMTM6",6157
"BRCA1",3,"JBLAB19940","BRCA1",406.6
"BRCA2",2,"JBLAB19940","BRCA2",92.6
"RAD51C",4.2,"JBLAB19940","RAD51C",493.8
"RAD51D",3,"JBLAB19940","RAD51D",222.2
"RAD51B",2.2,"JBLAB19940","RAD51B",75
"BRIP1",4.2,"JBLAB19940","BRIP1",232.2
"FANCM",2.2,"JBLAB19940","FANCM",137
"PALB2",2.9,"JBLAB19940","PALB2",460.6
"BARD1",2.3,"JBLAB19940","BARD1",186.5
"CDK12",3,"JBLAB19940","CDK12",1270.6
"TP53",2.1,"JBLAB19940","TP53",443.8
"PTEN",2,"JBLAB19940","PTEN",565.6
"RB1",2,"JBLAB19940","RB1",743
"NF1",3,"JBLAB19940","NF1",2181.2
"MLH1",2.8,"JBLAB19940","MLH1",360
"MSH2",3,"JBLAB19940","MSH2",1187.7
"MSH6",3,"JBLAB19940","MSH6",917.2
"PMS2",1.9,"JBLAB19940","PMS2",543.5
"PARP2",2.2,"JBLAB19940","PARP2",838.2
"PPM1D",4.2,"JBLAB19940","PPM1D",488.1
"APLF",3,"JBLAB19940","APLF",79.8
"APTX",3.2,"JBLAB19940","APTX",587
"CHEK1",3.9,"JBLAB19940","CHEK1",468.6
"CHEK2",2,"JBLAB19940","CHEK2",299.6
"FANCD2",2.8,"JBLAB19940","FANCD2",555.7
"CCNE1",4,"JBLAB19940","CCNE1",515
"MYC",4.8,"JBLAB19940","MYC",2958
"MECOM",4.8,"JBLAB19940","MECOM",2051.5
"ZMYND8",2.9,"JBLAB19940","ZMYND8",1657.2
"PAX8",3,"JBLAB19940","PAX8",14683
"TERT",2.9,"JBLAB19940","TERT",383
"ID4",3.9,"JBLAB19940","ID4",2817
"SLPI",2.9,"JBLAB19940","SLPI",115465
"CMTM6",2.8,"JBLAB19940","CMTM6",3077.8
"BRCA1",2.9,"JBLAB19925","BRCA1",254.4
"BRCA2",2,"JBLAB19925","BRCA2",153.7
"RAD51C",3.8,"JBLAB19925","RAD51C",511.1
"RAD51D",2.9,"JBLAB19925","RAD51D",247.3
"RAD51B",2,"JBLAB19925","RAD51B",70
"BRIP1",3.8,"JBLAB19925","BRIP1",118.7
"FANCM",2,"JBLAB19925","FANCM",35
"PALB2",2.9,"JBLAB19925","PALB2",150.4
"BARD1",2.9,"JBLAB19925","BARD1",55.8
"CDK12",7.3,"JBLAB19925","CDK12",791.6
"TP53",2,"JBLAB19925","TP53",154.4
"PTEN",2,"JBLAB19925","PTEN",519.2
"RB1",2,"JBLAB19925","RB1",23
"NF1",2.9,"JBLAB19925","NF1",580.4
"MLH1",3,"JBLAB19925","MLH1",488
"MSH2",5.4,"JBLAB19925","MSH2",521
"MSH6",5.4,"JBLAB19925","MSH6",2399
"PMS2",3.1,"JBLAB19925","PMS2",667.2
"PARP2",6.4,"JBLAB19925","PARP2",1207
"PPM1D",3.8,"JBLAB19925","PPM1D",79.9
"APLF",3.8,"JBLAB19925","APLF",58
"APTX",1.9,"JBLAB19925","APTX",719
"CHEK1",2,"JBLAB19925","CHEK1",388.3
"CHEK2",2,"JBLAB19925","CHEK2",487.7
"FANCD2",3,"JBLAB19925","FANCD2",810.8
"CCNE1",8.4,"JBLAB19925","CCNE1",1849
"MYC",5,"JBLAB19925","MYC",619
"MECOM",5.8,"JBLAB19925","MECOM",417.5
"ZMYND8",3.8,"JBLAB19925","ZMYND8",793
"PAX8",2.9,"JBLAB19925","PAX8",14926
"TERT",7.4,"JBLAB19925","TERT",13
"ID4",3.4,"JBLAB19925","ID4",241
"SLPI",3.8,"JBLAB19925","SLPI",382981
"CMTM6",3,"JBLAB19925","CMTM6",763
"BRCA1",2,"JBLAB19904","BRCA1",587.8
"BRCA2",2.9,"JBLAB19904","BRCA2",352.8
"RAD51C",2.9,"JBLAB19904","RAD51C",385.4
"RAD51D",2,"JBLAB19904","RAD51D",317.8
"RAD51B",2,"JBLAB19904","RAD51B",114
"BRIP1",2.9,"JBLAB19904","BRIP1",148.8
"FANCM",2,"JBLAB19904","FANCM",139
"PALB2",3.7,"JBLAB19904","PALB2",766
"BARD1",3.7,"JBLAB19904","BARD1",636
"CDK12",2,"JBLAB19904","CDK12",1519.8
"TP53",2,"JBLAB19904","TP53",219.4
"PTEN",3.9,"JBLAB19904","PTEN",1862.5
"RB1",3,"JBLAB19904","RB1",2115
"NF1",2,"JBLAB19904","NF1",507.4
"MLH1",1.9,"JBLAB19904","MLH1",751
"MSH2",3.9,"JBLAB19904","MSH2",3282.3
"MSH6",3.9,"JBLAB19904","MSH6",3670.6
"PMS2",2,"JBLAB19904","PMS2",684.3
"PARP2",2,"JBLAB19904","PARP2",660
"PPM1D",2.9,"JBLAB19904","PPM1D",431.4
"APLF",3.9,"JBLAB19904","APLF",155
"APTX",2,"JBLAB19904","APTX",443
"CHEK1",3,"JBLAB19904","CHEK1",881.6
"CHEK2",1.9,"JBLAB19904","CHEK2",517.8
"FANCD2",3,"JBLAB19904","FANCD2",815
"CCNE1",3.8,"JBLAB19904","CCNE1",879
"MYC",5.9,"JBLAB19904","MYC",2957
"MECOM",5,"JBLAB19904","MECOM",5604.8
"ZMYND8",3.9,"JBLAB19904","ZMYND8",3580.4
"PAX8",3.9,"JBLAB19904","PAX8",9150
"TERT",3,"JBLAB19904","TERT",4
"ID4",4.9,"JBLAB19904","ID4",3612
"SLPI",3.9,"JBLAB19904","SLPI",33611
"CMTM6",3,"JBLAB19904","CMTM6",26070
