"","GeneName","EnsemblId","esti","pval","nbSegOver","plot","regionName"
"396","ANKRD17","ENSG00000132466",0.49,"0.0022",7,"reg_4-71970001-75270000-3300_ENSG00000132466_ANKRD17.png","4-71970001-75270000-3300"
"397","ALB","ENSG00000163631",0.32,"0.034",2,"reg_4-71970001-75270000-3300_ENSG00000163631_ALB.png","4-71970001-75270000-3300"
"398","AFP","ENSG00000081051",0.46,"0.0062",2,"reg_4-71970001-75270000-3300_ENSG00000081051_AFP.png","4-71970001-75270000-3300"
"399","AFM","ENSG00000079557",-0.25,"0.89",1,"reg_4-71970001-75270000-3300_ENSG00000079557_AFM.png","4-71970001-75270000-3300"
"400","RASSF6","ENSG00000169435",0.19,"0.14",2,"reg_4-71970001-75270000-3300_ENSG00000169435_RASSF6.png","4-71970001-75270000-3300"
"401","IL8","ENSG00000169429",NA,"NA",0,NA,"4-71970001-75270000-3300"
"402","CXCL6","ENSG00000124875",-0.01,"0.52",1,"reg_4-71970001-75270000-3300_ENSG00000124875_CXCL6.png","4-71970001-75270000-3300"
"403","PF4V1","ENSG00000109272",0.07,"0.34",1,"reg_4-71970001-75270000-3300_ENSG00000109272_PF4V1.png","4-71970001-75270000-3300"
"404","CXCL1","ENSG00000163739",-0.06,"0.63",1,"reg_4-71970001-75270000-3300_ENSG00000163739_CXCL1.png","4-71970001-75270000-3300"
"405","PF4","ENSG00000163737",-0.03,"0.56",1,"reg_4-71970001-75270000-3300_ENSG00000163737_PF4.png","4-71970001-75270000-3300"
"406","PPBP","ENSG00000163736",-0.19,"0.84",1,"reg_4-71970001-75270000-3300_ENSG00000163736_PPBP.png","4-71970001-75270000-3300"
"407","CXCL5","ENSG00000163735",-0.24,"0.92",1,"reg_4-71970001-75270000-3300_ENSG00000163735_CXCL5.png","4-71970001-75270000-3300"
"408","CXCL3","ENSG00000163734",-0.03,"0.58",1,"reg_4-71970001-75270000-3300_ENSG00000163734_CXCL3.png","4-71970001-75270000-3300"
"409","CXCL2","ENSG00000081041",0.1,"0.28",1,"reg_4-71970001-75270000-3300_ENSG00000081041_CXCL2.png","4-71970001-75270000-3300"
"410","MTHFD2L","ENSG00000163738",0.33,"0.027",7,"reg_4-71970001-75270000-3300_ENSG00000163738_MTHFD2L.png","4-71970001-75270000-3300"
"411","AC093677.1","ENSG00000269559",NA,"NA",0,NA,"4-71970001-75270000-3300"
"412","EPGN","ENSG00000182585",0.34,"0.03",2,"reg_4-71970001-75270000-3300_ENSG00000182585_EPGN.png","4-71970001-75270000-3300"
"413","EREG","ENSG00000124882",0.47,"0.0032",2,"reg_4-71970001-75270000-3300_ENSG00000124882_EREG.png","4-71970001-75270000-3300"
"414","AREG","ENSG00000109321",0.4,"0.01",-4,"reg_4-75330001-75450000-120_ENSG00000109321_AREG.png","4-75330001-75450000-120"
"415","AREGB","ENSG00000205595",NA,"NA",0,NA,"4-75510001-75630000-120"
"416","BTC","ENSG00000174808",0.52,"0.0014",2,"reg_4-75660001-76140000-480_ENSG00000174808_BTC.png","4-75660001-76140000-480"
"417","PARM1","ENSG00000169116",0.26,"0.07",5,"reg_4-75660001-76140000-480_ENSG00000169116_PARM1.png","4-75660001-76140000-480"
"418","PARM1","ENSG00000169116",0.26,"0.07",5,"reg_4-76170001-76200000-30_ENSG00000169116_PARM1.png","4-76170001-76200000-30"
"419","RCHY1","ENSG00000163743",0.39,"0.013",2,"reg_4-76230001-76290000-60_ENSG00000163743_RCHY1.png","4-76230001-76290000-60"
"420","RCHY1","ENSG00000163743",0.39,"0.013",2,"reg_4-76350001-76800000-450_ENSG00000163743_RCHY1.png","4-76350001-76800000-450"
"421","THAP6","ENSG00000174796",0.4,"0.01",3,"reg_4-76350001-76800000-450_ENSG00000174796_THAP6.png","4-76350001-76800000-450"
"422","C4orf26","ENSG00000174792",NA,"NA",0,NA,"4-76350001-76800000-450"
"423","CDKL2","ENSG00000138769",0.39,"0.013",2,"reg_4-76350001-76800000-450_ENSG00000138769_CDKL2.png","4-76350001-76800000-450"
"424","G3BP2","ENSG00000138757",0.36,"0.019",3,"reg_4-76350001-76800000-450_ENSG00000138757_G3BP2.png","4-76350001-76800000-450"
"425","USO1","ENSG00000138768",0.42,"0.0069",4,"reg_4-76350001-76800000-450_ENSG00000138768_USO1.png","4-76350001-76800000-450"
"426","PPEF2","ENSG00000156194",-0.08,"0.69",1,"reg_4-76350001-76800000-450_ENSG00000156194_PPEF2.png","4-76350001-76800000-450"
"427","NAAA","ENSG00000138744",0.14,"0.21",2,"reg_4-76830001-77430000-600_ENSG00000138744_NAAA.png","4-76830001-77430000-600"
"428","SDAD1","ENSG00000198301",0.48,"0.0028",2,"reg_4-76830001-77430000-600_ENSG00000198301_SDAD1.png","4-76830001-77430000-600"
"429","AC110615.1","ENSG00000268788",NA,"NA",0,NA,"4-76830001-77430000-600"
"430","CXCL9","ENSG00000138755",0.16,"0.2",1,"reg_4-76830001-77430000-600_ENSG00000138755_CXCL9.png","4-76830001-77430000-600"
"431","ART3","ENSG00000156219",0.2,"0.12",4,"reg_4-76830001-77430000-600_ENSG00000156219_ART3.png","4-76830001-77430000-600"
"432","CXCL10","ENSG00000169245",0.07,"0.34",1,"reg_4-76830001-77430000-600_ENSG00000169245_CXCL10.png","4-76830001-77430000-600"
"433","CXCL11","ENSG00000169248",0.31,"0.037",1,"reg_4-76830001-77430000-600_ENSG00000169248_CXCL11.png","4-76830001-77430000-600"
"434","NUP54","ENSG00000138750",0.37,"0.015",2,"reg_4-76830001-77430000-600_ENSG00000138750_NUP54.png","4-76830001-77430000-600"
"435","SCARB2","ENSG00000138760",0.56,"0.00064",3,"reg_4-76830001-77430000-600_ENSG00000138760_SCARB2.png","4-76830001-77430000-600"
"436","FAM47E","ENSG00000189157",0.36,"0.019",3,"reg_4-76830001-77430000-600_ENSG00000189157_FAM47E.png","4-76830001-77430000-600"
"437","FAM47E-STBD1","ENSG00000272414",0.24,"0.081",3,"reg_4-76830001-77430000-600_ENSG00000272414_FAM47E-STBD1.png","4-76830001-77430000-600"
"438","FAM47E-STBD1","ENSG00000118804",NA,"NA",0,NA,"4-76830001-77430000-600"
"439","CCDC158","ENSG00000163749",0.44,"0.0056",5,"reg_4-76830001-77430000-600_ENSG00000163749_CCDC158.png","4-76830001-77430000-600"
"440","SHROOM3","ENSG00000138771",0.49,"0.0022",12,"reg_4-76830001-77430000-600_ENSG00000138771_SHROOM3.png","4-76830001-77430000-600"
"441","SHROOM3","ENSG00000138771",0.49,"0.0022",12,"reg_4-77460001-78120000-660_ENSG00000138771_SHROOM3.png","4-77460001-78120000-660"
"442","SOWAHB","ENSG00000186212",0.48,"0.0028",1,"reg_4-77460001-78120000-660_ENSG00000186212_SOWAHB.png","4-77460001-78120000-660"
"443","SEPT11","ENSG00000138758",0.41,"0.0085",4,"reg_4-77460001-78120000-660_ENSG00000138758_SEPT11.png","4-77460001-78120000-660"
"444","CCNI","ENSG00000118816",0.45,"0.0045",2,"reg_4-77460001-78120000-660_ENSG00000118816_CCNI.png","4-77460001-78120000-660"
"445","CCNG2","ENSG00000138764",0.42,"0.0069",9,"reg_4-77460001-78120000-660_ENSG00000138764_CCNG2.png","4-77460001-78120000-660"
"446","CCNG2","ENSG00000138764",0.42,"0.0069",9,"reg_4-78150001-78390000-240_ENSG00000138764_CCNG2.png","4-78150001-78390000-240"
"447","CXCL13","ENSG00000156234",0.08,"0.34",3,"reg_4-78450001-78900000-450_ENSG00000156234_CXCL13.png","4-78450001-78900000-450"
"448","CNOT6L","ENSG00000138767",0.35,"0.022",4,"reg_4-78450001-78900000-450_ENSG00000138767_CNOT6L.png","4-78450001-78900000-450"
"449","MRPL1","ENSG00000169288",0.35,"0.02",4,"reg_4-78450001-78900000-450_ENSG00000169288_MRPL1.png","4-78450001-78900000-450"
"450","FRAS1","ENSG00000138759",0.15,"0.19",16,"reg_4-78930001-79020000-90_ENSG00000138759_FRAS1.png","4-78930001-79020000-90"
"451","FRAS1","ENSG00000138759",0.15,"0.19",16,"reg_4-79050001-80790000-1740_ENSG00000138759_FRAS1.png","4-79050001-80790000-1740"
"452","ANXA3","ENSG00000138772",0.18,"0.15",3,"reg_4-79050001-80790000-1740_ENSG00000138772_ANXA3.png","4-79050001-80790000-1740"
"453","BMP2K","ENSG00000138756",0.36,"0.019",6,"reg_4-79050001-80790000-1740_ENSG00000138756_BMP2K.png","4-79050001-80790000-1740"
"454","PAQR3","ENSG00000163291",0.35,"0.022",3,"reg_4-79050001-80790000-1740_ENSG00000163291_PAQR3.png","4-79050001-80790000-1740"
"455","NAA11","ENSG00000156269",0.49,"0.0027",4,"reg_4-79050001-80790000-1740_ENSG00000156269_NAA11.png","4-79050001-80790000-1740"
"456","GK2","ENSG00000196475",0.46,"0.012",1,"reg_4-79050001-80790000-1740_ENSG00000196475_GK2.png","4-79050001-80790000-1740"
"457","ANTXR2","ENSG00000163297",0.39,"0.013",8,"reg_4-80820001-81690000-870_ENSG00000163297_ANTXR2.png","4-80820001-81690000-870"
"458","PRDM8","ENSG00000152784",0.45,"0.0062",2,"reg_4-80820001-81690000-870_ENSG00000152784_PRDM8.png","4-80820001-81690000-870"
"459","FGF5","ENSG00000138675",0.24,"0.081",3,"reg_4-80820001-81690000-870_ENSG00000138675_FGF5.png","4-80820001-81690000-870"
"460","C4orf22","ENSG00000197826",NA,"NA",0,NA,"4-80820001-81690000-870"
"461","LINC01098","ENSG00000231171",NA,"NA",0,NA,"4-179670001-180510000-840"
"462","WWC2","ENSG00000151718",0.34,"0.024",1,"reg_4-184230001-184560000-330_ENSG00000151718_WWC2.png","4-184230001-184560000-330"
"463","CLDN22","ENSG00000177300",0.12,"0.25",1,"reg_4-184230001-184560000-330_ENSG00000177300_CLDN22.png","4-184230001-184560000-330"
"464","CLDN24","ENSG00000185758",0.02,"0.47",1,"reg_4-184230001-184560000-330_ENSG00000185758_CLDN24.png","4-184230001-184560000-330"
"465","CDKN2AIP","ENSG00000168564",0.29,"0.047",1,"reg_4-184230001-184560000-330_ENSG00000168564_CDKN2AIP.png","4-184230001-184560000-330"
"466","ING2","ENSG00000168556",0.42,"0.0075",1,"reg_4-184230001-184560000-330_ENSG00000168556_ING2.png","4-184230001-184560000-330"
"467","PLEKHG4B","ENSG00000153404",-0.25,"0.93",3,"reg_5-60001-210000-150_ENSG00000153404_PLEKHG4B.png","5-60001-210000-150"
"468","LRRC14B","ENSG00000185028",0.34,"0.028",1,"reg_5-60001-210000-150_ENSG00000185028_LRRC14B.png","5-60001-210000-150"
"469","CCDC127","ENSG00000164366",0.42,"0.0069",1,"reg_5-60001-210000-150_ENSG00000164366_CCDC127.png","5-60001-210000-150"
"470","PDCD6","ENSG00000249915",0.27,"0.06",2,"reg_5-300001-540000-240_ENSG00000249915_PDCD6.png","5-300001-540000-240"
"471","AHRR","ENSG00000063438",-0.13,"0.77",5,"reg_5-300001-540000-240_ENSG00000063438_AHRR.png","5-300001-540000-240"
"472","C5orf55","ENSG00000221990",NA,"NA",0,NA,"5-300001-540000-240"
"473","EXOC3","ENSG00000180104",0.53,"0.0011",2,"reg_5-300001-540000-240_ENSG00000180104_EXOC3.png","5-300001-540000-240"
"474","CTD-2228K2.5","ENSG00000188242",NA,"NA",0,NA,"5-300001-540000-240"
"475","SLC9A3","ENSG00000066230",0.35,"0.022",3,"reg_5-300001-540000-240_ENSG00000066230_SLC9A3.png","5-300001-540000-240"
"476","CEP72","ENSG00000112877",0.39,"0.013",3,"reg_5-570001-690000-120_ENSG00000112877_CEP72.png","5-570001-690000-120"
"477","TPPP","ENSG00000171368",0.04,"0.41",1,"reg_5-570001-690000-120_ENSG00000171368_TPPP.png","5-570001-690000-120"
"478","AC026740.1","ENSG00000268885",NA,"NA",0,NA,"5-570001-690000-120"
"479","BRD9","ENSG00000028310",0.53,"0.0011",1,"reg_5-870001-1050000-180_ENSG00000028310_BRD9.png","5-870001-1050000-180"
"480","TRIP13","ENSG00000071539",0.29,"0.044",2,"reg_5-870001-1050000-180_ENSG00000071539_TRIP13.png","5-870001-1050000-180"
"481","RP11-661C8.3","ENSG00000250173",NA,"NA",0,NA,"5-870001-1050000-180"
"482","NKD2","ENSG00000145506",0.11,"0.26",2,"reg_5-870001-1050000-180_ENSG00000145506_NKD2.png","5-870001-1050000-180"
"483","SLC12A7","ENSG00000113504",0.24,"0.081",2,"reg_5-1080001-1380000-300_ENSG00000113504_SLC12A7.png","5-1080001-1380000-300"
"484","SLC6A19","ENSG00000174358",-0.16,"0.78",1,"reg_5-1080001-1380000-300_ENSG00000174358_SLC6A19.png","5-1080001-1380000-300"
"485","SLC6A18","ENSG00000164363",NA,"NA",2,"reg_5-1080001-1380000-300_ENSG00000164363_SLC6A18.png","5-1080001-1380000-300"
"486","TERT","ENSG00000164362",-0.02,"0.55",3,"reg_5-1080001-1380000-300_ENSG00000164362_TERT.png","5-1080001-1380000-300"
"487","CLPTM1L","ENSG00000049656",0.31,"0.038",2,"reg_5-1080001-1380000-300_ENSG00000049656_CLPTM1L.png","5-1080001-1380000-300"
"488","SLC6A3","ENSG00000142319",-0.08,"0.68",2,"reg_5-1410001-1560000-150_ENSG00000142319_SLC6A3.png","5-1410001-1560000-150"
"489","LPCAT1","ENSG00000153395",0.19,"0.14",3,"reg_5-1410001-1560000-150_ENSG00000153395_LPCAT1.png","5-1410001-1560000-150"
"490","MRPL36","ENSG00000171421",0.4,"0.01",2,"reg_5-1650001-2580000-930_ENSG00000171421_MRPL36.png","5-1650001-2580000-930"
"491","NDUFS6","ENSG00000145494",0.36,"0.019",1,"reg_5-1650001-2580000-930_ENSG00000145494_NDUFS6.png","5-1650001-2580000-930"
"492","IRX4","ENSG00000113430",-0.09,"0.68",1,"reg_5-1650001-2580000-930_ENSG00000113430_IRX4.png","5-1650001-2580000-930"
"493","SEMA5A","ENSG00000112902",-0.08,"0.69",13,"reg_5-9180001-9840000-660_ENSG00000112902_SEMA5A.png","5-9180001-9840000-660"
"494","TAS2R1","ENSG00000169777",-0.09,"0.68",4,"reg_5-9180001-9840000-660_ENSG00000169777_TAS2R1.png","5-9180001-9840000-660"
"495","SLC1A3","ENSG00000079215",0.2,"0.12",3,"reg_5-36480001-37080000-600_ENSG00000079215_SLC1A3.png","5-36480001-37080000-600"
"496","NIPBL","ENSG00000164190",0.22,"0.11",7,"reg_5-36480001-37080000-600_ENSG00000164190_NIPBL.png","5-36480001-37080000-600"
"497","GLRA1","ENSG00000145888",0.27,"0.074",2,"reg_5-151260001-151380000-120_ENSG00000145888_GLRA1.png","5-151260001-151380000-120"
"498","DUSP22","ENSG00000112679",0.42,"0.0075",-1,"reg_6-210001-240000-30_ENSG00000112679_DUSP22.png","6-210001-240000-30"
"499","IRF4","ENSG00000137265",0.13,"0.23",1,"reg_6-390001-1590000-1200_ENSG00000137265_IRF4.png","6-390001-1590000-1200"
"500","EXOC2","ENSG00000112685",0.25,"0.074",8,"reg_6-390001-1590000-1200_ENSG00000112685_EXOC2.png","6-390001-1590000-1200"
"501","HUS1B","ENSG00000188996",0.47,"0.0047",1,"reg_6-390001-1590000-1200_ENSG00000188996_HUS1B.png","6-390001-1590000-1200"
"502","AL033381.1","ENSG00000176515",NA,"NA",0,NA,"6-390001-1590000-1200"
"503","FOXQ1","ENSG00000164379",0.01,"0.47",1,"reg_6-390001-1590000-1200_ENSG00000164379_FOXQ1.png","6-390001-1590000-1200"
"504","FOXF2","ENSG00000137273",0.01,"0.48",1,"reg_6-390001-1590000-1200_ENSG00000137273_FOXF2.png","6-390001-1590000-1200"
"505","GMDS","ENSG00000112699",0.25,"0.074",21,"reg_6-1620001-4680000-3060_ENSG00000112699_GMDS.png","6-1620001-4680000-3060"
"506","C6orf195","ENSG00000164385",NA,"NA",0,NA,"6-1620001-4680000-3060"
"507","MYLK4","ENSG00000145949",0.38,"0.014",4,"reg_6-1620001-4680000-3060_ENSG00000145949_MYLK4.png","6-1620001-4680000-3060"
"508","WRNIP1","ENSG00000124535",0.3,"0.04",1,"reg_6-1620001-4680000-3060_ENSG00000124535_WRNIP1.png","6-1620001-4680000-3060"
"509","SERPINB1","ENSG00000021355",0.21,"0.11",1,"reg_6-1620001-4680000-3060_ENSG00000021355_SERPINB1.png","6-1620001-4680000-3060"
"510","SERPINB9","ENSG00000170542",0.03,"0.44",1,"reg_6-1620001-4680000-3060_ENSG00000170542_SERPINB9.png","6-1620001-4680000-3060"
"511","SERPINB6","ENSG00000124570",0.07,"0.35",2,"reg_6-1620001-4680000-3060_ENSG00000124570_SERPINB6.png","6-1620001-4680000-3060"
"512","NQO2","ENSG00000124588",0,"0.5",2,"reg_6-1620001-4680000-3060_ENSG00000124588_NQO2.png","6-1620001-4680000-3060"
"513","RIPK1","ENSG00000137275",0.15,"0.2",2,"reg_6-1620001-4680000-3060_ENSG00000137275_RIPK1.png","6-1620001-4680000-3060"
"514","BPHL","ENSG00000137274",0.16,"0.18",3,"reg_6-1620001-4680000-3060_ENSG00000137274_BPHL.png","6-1620001-4680000-3060"
"515","TUBB2A","ENSG00000137267",-0.26,"0.94",1,"reg_6-1620001-4680000-3060_ENSG00000137267_TUBB2A.png","6-1620001-4680000-3060"
"516","TUBB2B","ENSG00000137285",-0.37,"0.98",1,"reg_6-1620001-4680000-3060_ENSG00000137285_TUBB2B.png","6-1620001-4680000-3060"
"517","PSMG4","ENSG00000180822",0.34,"0.024",4,"reg_6-1620001-4680000-3060_ENSG00000180822_PSMG4.png","6-1620001-4680000-3060"
"518","SLC22A23","ENSG00000137266",0.13,"0.22",8,"reg_6-1620001-4680000-3060_ENSG00000137266_SLC22A23.png","6-1620001-4680000-3060"
"519","PXDC1","ENSG00000168994",0.39,"0.012",2,"reg_6-1620001-4680000-3060_ENSG00000168994_PXDC1.png","6-1620001-4680000-3060"
"520","FAM50B","ENSG00000145945",0.32,"0.034",1,"reg_6-1620001-4680000-3060_ENSG00000145945_FAM50B.png","6-1620001-4680000-3060"
"521","C6ORF50","ENSG00000145965",NA,"NA",0,NA,"6-1620001-4680000-3060"
"522","PRPF4B","ENSG00000112739",0.26,"0.064",2,"reg_6-1620001-4680000-3060_ENSG00000112739_PRPF4B.png","6-1620001-4680000-3060"
"523","FAM217A","ENSG00000145975",-0.05,"0.59",3,"reg_6-1620001-4680000-3060_ENSG00000145975_FAM217A.png","6-1620001-4680000-3060"
"524","C6orf201","ENSG00000185689",0.11,"0.27",3,"reg_6-1620001-4680000-3060_ENSG00000185689_C6orf201.png","6-1620001-4680000-3060"
"525","ECI2","ENSG00000198721",-0.09,"0.69",1,"reg_6-1620001-4680000-3060_ENSG00000198721_ECI2.png","6-1620001-4680000-3060"
"526","CDYL","ENSG00000153046",0.37,"0.017",9,"reg_6-4710001-5130000-420_ENSG00000153046_CDYL.png","6-4710001-5130000-420"
"527","RPP40","ENSG00000124787",0.25,"0.074",1,"reg_6-4710001-5130000-420_ENSG00000124787_RPP40.png","6-4710001-5130000-420"
"528","PPP1R3G","ENSG00000219607",-0.15,"0.8",1,"reg_6-4710001-5130000-420_ENSG00000219607_PPP1R3G.png","6-4710001-5130000-420"
"529","LYRM4","ENSG00000214113",0.21,"0.11",5,"reg_6-4710001-5130000-420_ENSG00000214113_LYRM4.png","6-4710001-5130000-420"
"530","LYRM4","ENSG00000214113",0.21,"0.11",5,"reg_6-5160001-7890000-2730_ENSG00000214113_LYRM4.png","6-5160001-7890000-2730"
"531","FARS2","ENSG00000145982",0.22,"0.1",18,"reg_6-5160001-7890000-2730_ENSG00000145982_FARS2.png","6-5160001-7890000-2730"
"532","NRN1","ENSG00000124785",-0.39,"0.99",2,"reg_6-5160001-7890000-2730_ENSG00000124785_NRN1.png","6-5160001-7890000-2730"
"533","F13A1","ENSG00000124491",0.26,"0.076",7,"reg_6-5160001-7890000-2730_ENSG00000124491_F13A1.png","6-5160001-7890000-2730"
"534","LY86","ENSG00000112799",0.16,"0.19",3,"reg_6-5160001-7890000-2730_ENSG00000112799_LY86.png","6-5160001-7890000-2730"
"535","RREB1","ENSG00000124782",0.3,"0.04",6,"reg_6-5160001-7890000-2730_ENSG00000124782_RREB1.png","6-5160001-7890000-2730"
"536","SSR1","ENSG00000124783",0.32,"0.034",3,"reg_6-5160001-7890000-2730_ENSG00000124783_SSR1.png","6-5160001-7890000-2730"
"537","CAGE1","ENSG00000164304",0.03,"0.44",3,"reg_6-5160001-7890000-2730_ENSG00000164304_CAGE1.png","6-5160001-7890000-2730"
"538","RIOK1","ENSG00000124784",0.2,"0.13",2,"reg_6-5160001-7890000-2730_ENSG00000124784_RIOK1.png","6-5160001-7890000-2730"
"539","DSP","ENSG00000096696",0.17,"0.16",2,"reg_6-5160001-7890000-2730_ENSG00000096696_DSP.png","6-5160001-7890000-2730"
"540","SNRNP48","ENSG00000168566",0.05,"0.38",1,"reg_6-5160001-7890000-2730_ENSG00000168566_SNRNP48.png","6-5160001-7890000-2730"
"541","BMP6","ENSG00000153162",-0.41,"0.99",6,"reg_6-5160001-7890000-2730_ENSG00000153162_BMP6.png","6-5160001-7890000-2730"
"542","TXNDC5","ENSG00000239264",-0.03,"0.56",1,"reg_6-5160001-7890000-2730_ENSG00000239264_TXNDC5.png","6-5160001-7890000-2730"
"543","BLOC1S5-TXNDC5","ENSG00000259040",0.1,"0.3",1,"reg_6-5160001-7890000-2730_ENSG00000259040_BLOC1S5-TXNDC5.png","6-5160001-7890000-2730"
"544","THSD7A","ENSG00000005108",0.16,"0.17",-10,"reg_7-11910001-12210000-300_ENSG00000005108_THSD7A.png","7-11910001-12210000-300"
"545","SP4","ENSG00000105866",0.07,"0.34",4,"reg_7-20970001-22530000-1560_ENSG00000105866_SP4.png","7-20970001-22530000-1560"
"546","DNAH11","ENSG00000105877",0.03,"0.42",13,"reg_7-20970001-22530000-1560_ENSG00000105877_DNAH11.png","7-20970001-22530000-1560"
"547","CDCA7L","ENSG00000164649",0.22,"0.11",2,"reg_7-20970001-22530000-1560_ENSG00000164649_CDCA7L.png","7-20970001-22530000-1560"
"548","RAPGEF5","ENSG00000136237",-0.01,"0.52",9,"reg_7-20970001-22530000-1560_ENSG00000136237_RAPGEF5.png","7-20970001-22530000-1560"
"549","STEAP1B","ENSG00000105889",0.4,"0.01",6,"reg_7-20970001-22530000-1560_ENSG00000105889_STEAP1B.png","7-20970001-22530000-1560"
"550","STEAP1B","ENSG00000105889",0.4,"0.01",6,"reg_7-22590001-22950000-360_ENSG00000105889_STEAP1B.png","7-22590001-22950000-360"
"551","IL6","ENSG00000136244",0.17,"0.16",2,"reg_7-22590001-22950000-360_ENSG00000136244_IL6.png","7-22590001-22950000-360"
"552","TOMM7","ENSG00000196683",0.24,"0.081",2,"reg_7-22590001-22950000-360_ENSG00000196683_TOMM7.png","7-22590001-22950000-360"
"553","FAM126A","ENSG00000122591",-0.03,"0.58",3,"reg_7-22980001-23070000-90_ENSG00000122591_FAM126A.png","7-22980001-23070000-90"
"554","KLHL7","ENSG00000122550",-0.01,"0.52",3,"reg_7-23100001-23340000-240_ENSG00000122550_KLHL7.png","7-23100001-23340000-240"
"555","AC005082.1","ENSG00000214871",NA,"NA",0,NA,"7-23100001-23340000-240"
"556","NUPL2","ENSG00000136243",0.23,"0.092",1,"reg_7-23100001-23340000-240_ENSG00000136243_NUPL2.png","7-23100001-23340000-240"
"557","GPNMB","ENSG00000136235",0.24,"0.081",3,"reg_7-23100001-23340000-240_ENSG00000136235_GPNMB.png","7-23100001-23340000-240"
"558","MALSU1","ENSG00000156928",0.08,"0.31",1,"reg_7-23100001-23340000-240_ENSG00000156928_MALSU1.png","7-23100001-23340000-240"
"559","IGF2BP3","ENSG00000136231",-0.14,"0.79",5,"reg_7-23370001-25080000-1710_ENSG00000136231_IGF2BP3.png","7-23370001-25080000-1710"
"560","TRA2A","ENSG00000164548",0.24,"0.081",2,"reg_7-23370001-25080000-1710_ENSG00000164548_TRA2A.png","7-23370001-25080000-1710"
"561","CCDC126","ENSG00000169193",0.07,"0.34",3,"reg_7-23370001-25080000-1710_ENSG00000169193_CCDC126.png","7-23370001-25080000-1710"
"562","FAM221A","ENSG00000188732",0.22,"0.11",2,"reg_7-23370001-25080000-1710_ENSG00000188732_FAM221A.png","7-23370001-25080000-1710"
"563","STK31","ENSG00000196335",0.01,"0.48",5,"reg_7-23370001-25080000-1710_ENSG00000196335_STK31.png","7-23370001-25080000-1710"
"564","NPY","ENSG00000122585",0.14,"0.22",2,"reg_7-23370001-25080000-1710_ENSG00000122585_NPY.png","7-23370001-25080000-1710"
"565","MPP6","ENSG00000105926",0.1,"0.28",5,"reg_7-23370001-25080000-1710_ENSG00000105926_MPP6.png","7-23370001-25080000-1710"
"566","DFNA5","ENSG00000105928",NA,"NA",0,NA,"7-23370001-25080000-1710"
"567","OSBPL3","ENSG00000070882",0.02,"0.45",8,"reg_7-23370001-25080000-1710_ENSG00000070882_OSBPL3.png","7-23370001-25080000-1710"
"568","CYCS","ENSG00000172115",0.18,"0.15",1,"reg_7-25110001-26040000-930_ENSG00000172115_CYCS.png","7-25110001-26040000-930"
"569","C7orf31","ENSG00000153790",0.16,"0.18",2,"reg_7-25110001-26040000-930_ENSG00000153790_C7orf31.png","7-25110001-26040000-930"
"570","NPVF","ENSG00000105954",NA,"NA",1,"reg_7-25110001-26040000-930_ENSG00000105954_NPVF.png","7-25110001-26040000-930"
"571","NFE2L3","ENSG00000050344",0.03,"0.42",2,"reg_7-26070001-27180000-1110_ENSG00000050344_NFE2L3.png","7-26070001-27180000-1110"
"572","HNRNPA2B1","ENSG00000122566",0.02,"0.45",1,"reg_7-26070001-27180000-1110_ENSG00000122566_HNRNPA2B1.png","7-26070001-27180000-1110"
"573","CBX3","ENSG00000122565",0.19,"0.14",2,"reg_7-26070001-27180000-1110_ENSG00000122565_CBX3.png","7-26070001-27180000-1110"
"574","SNX10","ENSG00000086300",0.07,"0.34",4,"reg_7-26070001-27180000-1110_ENSG00000086300_SNX10.png","7-26070001-27180000-1110"
"575","KIAA0087","ENSG00000122548",NA,"NA",0,NA,"7-26070001-27180000-1110"
"576","C7orf71","ENSG00000222004",NA,"NA",0,NA,"7-26070001-27180000-1110"
"577","SKAP2","ENSG00000005020",-0.14,"0.79",12,"reg_7-26070001-27180000-1110_ENSG00000005020_SKAP2.png","7-26070001-27180000-1110"
"578","HOXA1","ENSG00000105991",-0.04,"0.59",1,"reg_7-26070001-27180000-1110_ENSG00000105991_HOXA1.png","7-26070001-27180000-1110"
"579","HOXA2","ENSG00000105996",0.34,"0.036",1,"reg_7-26070001-27180000-1110_ENSG00000105996_HOXA2.png","7-26070001-27180000-1110"
"580","HOXA3","ENSG00000105997",0.21,"0.12",2,"reg_7-26070001-27180000-1110_ENSG00000105997_HOXA3.png","7-26070001-27180000-1110"
"581","HOXA4","ENSG00000197576",0.25,"0.078",1,"reg_7-26070001-27180000-1110_ENSG00000197576_HOXA4.png","7-26070001-27180000-1110"
"582","EVX1","ENSG00000106038",-0.14,"0.75",1,"reg_7-27240001-27540000-300_ENSG00000106038_EVX1.png","7-27240001-27540000-300"
"583","HIBADH","ENSG00000106049",0.01,"0.48",5,"reg_7-27570001-29670000-2100_ENSG00000106049_HIBADH.png","7-27570001-29670000-2100"
"584","TAX1BP1","ENSG00000106052",0.03,"0.42",5,"reg_7-27570001-29670000-2100_ENSG00000106052_TAX1BP1.png","7-27570001-29670000-2100"
"585","JAZF1","ENSG00000153814",-0.11,"0.74",12,"reg_7-27570001-29670000-2100_ENSG00000153814_JAZF1.png","7-27570001-29670000-2100"
"586","CREB5","ENSG00000146592",0.05,"0.4",19,"reg_7-27570001-29670000-2100_ENSG00000146592_CREB5.png","7-27570001-29670000-2100"
